Iter;eval;function-value;axis-rat;sigma;min&max;std;min ;s;temps
1;16;1.522307742111654e-04;1.0e+00;9.57e-01;1.00E+00;1.00E+00;0;0.1;0.1
2;32;1.962383702838539e-04;1.0e+00;9.24e-01;9.00E-01;9.00E-01;0;0.2;0.2
3;48;1.438561000351947e-04;1.0e+00;9.02e-01;9.00E-01;9.00E-01;0;0.2;0.2
46;736;1.095553755498548e-04;1.2e+00;6.65e-01;7.00E-01;7.00E-01;0;3.3;3.3
105;1680;1.756937795982540e-04;1.4e+00;5.72e-01;6.00E-01;6.00E-01;0;7.3;7.3
179;2864;6.809515552974123e-05;1.5e+00;5.14e-01;5.00E-01;5.00E-01;0;12.3;12.3
267;4272;1.137383342929621e-04;1.6e+00;4.78e-01;5.00E-01;5.00E-01;0;18.4;18.4
371;5936;2.278513076994635e-04;1.8e+00;5.30e-01;5.00E-01;5.00E-01;0;25.4;25.4
484;7744;9.213495226026754e-05;1.8e+00;4.88e-01;5.00E-01;5.00E-01;0;33.5;33.5
500;8000;9.973069540975237e-05;1.8e+00;5.18e-01;5.00E-01;5.00E-01;0;34.6;34.6
635;10160;8.603427109304371e-05;1.9e+00;4.31e-01;4.00E-01;5.00E-01;0;44.6;44.6
791;12656;2.536011963108437e-04;2.1e+00;6.39e-01;6.00E-01;7.00E-01;0;55.6;55.6
950;15200;1.410550192604024e-04;2.5e+00;6.01e-01;6.00E-01;7.00E-01;1;7.7;67.7
1000;16000;1.212384482272021e-04;2.5e+00;5.54e-01;5.00E-01;6.00E-01;1;11.3;71.3
1188;19008;1.018676040937141e-04;2.5e+00;5.15e-01;5.00E-01;6.00E-01;1;25.3;85.3
1395;22320;1.056739245673476e-04;2.6e+00;5.72e-01;5.00E-01;6.00E-01;1;40.4;100.4
1500;24000;1.510597506694764e-04;2.7e+00;6.58e-01;6.00E-01;7.00E-01;1;47.9;107.9
1737;27792;1.513809945185455e-04;2.9e+00;9.67e-01;9.00E-01;1.00E+00;2;4.9;124.9
1993;31888;1.108343919426094e-04;3.1e+00;7.72e-01;7.00E-01;9.00E-01;2;22.9;142.9
2000;32000;1.132205581538940e-04;3.1e+00;8.09e-01;7.00E-01;9.00E-01;2;23.4;143.4
2279;36464;1.247677147179776e-04;3.4e+00;7.60e-01;7.00E-01;9.00E-01;2;43.4;163.4
2500;40000;1.032875202990442e-04;3.6e+00;1.62e+00;1.00E+00;2.00E+00;2;59;179
2808;44928;2.122956551700013e-04;4.2e+00;1.56e+00;1.00E+00;2.00E+00;3;21;201
3000;48000;2.132053508571524e-04;4.3e+00;6.21e-01;5.00E-01;8.00E-01;3;34.4;214.4
3336;53376;1.851183588545903e-04;4.5e+00;6.95e-01;6.00E-01;9.00E-01;3;58.5;238.5
3500;56000;2.191836206800602e-04;4.6e+00;6.74e-01;6.00E-01;9.00E-01;4;10.2;250.2
3848;61568;1.911042975721945e-04;5.0e+00;5.08e-01;4.00E-01;6.00E-01;4;36.2;276.2
4000;64000;2.806840510708872e-04;5.0e+00;5.92e-01;5.00E-01;7.00E-01;4;47.1;287.1
4395;70320;1.682035377295024e-04;5.6e+00;3.72e-01;3.00E-01;5.00E-01;5;15.1;315.1
4500;72000;2.599916666901453e-04;5.7e+00;3.41e-01;3.00E-01;4.00E-01;5;22.5;322.5
4921;78736;9.137596871560864e-05;5.9e+00;1.07e-01;8.00E-02;1.00E-01;5;52.6;352.6
5000;80000;8.786748433322339e-05;5.8e+00;9.15e-02;6.00E-02;1.00E-01;5;58.2;358.2
5451;87216;6.645126336628809e-05;6.5e+00;1.27e-02;8.00E-03;2.00E-02;6;30.3;390.3
5500;88000;6.601297478596349e-05;6.6e+00;1.55e-02;9.00E-03;2.00E-02;6;33.7;393.7
5975;95600;6.169808052591968e-05;1.2e+01;1.55e-02;8.00E-03;2.00E-02;7;7.8;427.8
6000;96000;6.104695528719586e-05;1.4e+01;1.87e-02;1.00E-02;3.00E-02;7;9.5;429.5
6500;104000;5.255634977129597e-05;4.5e+01;1.68e-02;8.00E-03;6.00E-02;7;45.1;465.1
7000;112000;4.960898254079184e-05;4.9e+01;1.79e-02;8.00E-03;6.00E-02;8;20.7;500.7
7500;120000;3.854031490910402e-05;7.8e+01;4.40e-02;2.00E-02;2.00E-01;8;56.3;536.3
8000;128000;3.459038913499589e-05;7.6e+01;1.57e-02;6.00E-03;7.00E-02;9;31.9;571.9
8500;136000;3.203813689438384e-05;8.8e+01;2.97e-02;9.00E-03;1.00E-01;10;7.6;607.6
9000;144000;2.588038612445805e-05;1.3e+02;2.83e-02;8.00E-03;1.00E-01;10;43.1;643.1
9500;152000;2.176014018633769e-05;2.2e+02;4.65e-02;1.00E-02;2.00E-01;11;18.9;678.9
10000;160000;1.869304529422251e-05;2.7e+02;2.64e-02;6.00E-03;1.00E-01;11;54.5;714.5
10500;168000;1.398070236878493e-05;3.0e+02;4.01e-02;8.00E-03;2.00E-01;12;30.9;750.9
11000;176000;1.237760151111829e-05;3.3e+02;2.50e-02;4.00E-03;1.00E-01;13;7.7;787.7
11500;184000;1.029873092797182e-05;3.8e+02;4.23e-02;6.00E-03;2.00E-01;13;44.7;824.7
12000;192000;8.917731629245932e-06;4.0e+02;5.07e-02;6.00E-03;3.00E-01;14;21.6;861.6
12500;200000;7.446731402671760e-06;4.3e+02;3.37e-02;4.00E-03;2.00E-01;14;59.5;899.5
13000;208000;6.737099707827788e-06;4.9e+02;3.07e-02;3.00E-03;2.00E-01;15;36.7;936.7
13500;216000;6.066025249510922e-06;5.5e+02;3.86e-02;3.00E-03;2.00E-01;16;15.1;975.1
14000;224000;5.061228838255071e-06;5.8e+02;5.62e-02;5.00E-03;3.00E-01;16;52.3;1012.3
14500;232000;4.176507492520737e-06;5.9e+02;5.45e-02;5.00E-03;3.00E-01;17;29.4;1049.4
15000;240000;3.465616059438502e-06;6.1e+02;3.23e-02;3.00E-03;1.00E-01;18;7.3;1087.3
15500;248000;3.107823002679638e-06;5.9e+02;3.66e-02;2.00E-03;2.00E-01;18;45.3;1125.3
16000;256000;2.634953957677987e-06;5.6e+02;3.82e-02;2.00E-03;2.00E-01;19;24.1;1164.1
16500;264000;2.398566703209221e-06;5.5e+02;2.42e-02;1.00E-03;1.00E-01;20;1.9;1201.9
17000;272000;2.184404630351924e-06;6.9e+02;3.68e-02;2.00E-03;2.00E-01;20;39.3;1239.3
17500;280000;2.031704302671510e-06;8.5e+02;2.46e-02;1.00E-03;1.00E-01;21;16;1276
18000;288000;1.808228027283776e-06;1.0e+03;4.50e-02;2.00E-03;2.00E-01;21;52.9;1312.9
18500;296000;1.698393863887261e-06;1.2e+03;3.47e-02;1.00E-03;2.00E-01;22;30;1350
19000;304000;1.599010769760732e-06;1.4e+03;2.79e-02;1.00E-03;1.00E-01;23;6.9;1386.9
19500;312000;1.524555220555416e-06;1.8e+03;2.95e-02;9.00E-04;1.00E-01;23;43.8;1423.8
20000;320000;1.449252246540960e-06;2.6e+03;3.87e-02;1.00E-03;2.00E-01;24;19.9;1459.9
20500;328000;1.387162245611306e-06;3.0e+03;4.09e-02;2.00E-03;2.00E-01;24;55.9;1495.9
21000;336000;1.365034880726647e-06;3.2e+03;2.64e-02;8.00E-04;1.00E-01;25;32.3;1532.3
21500;344000;1.329077073178526e-06;3.6e+03;4.19e-02;1.00E-03;2.00E-01;26;7.6;1567.6
22000;352000;1.264134084472302e-06;4.4e+03;6.17e-02;2.00E-03;3.00E-01;26;43.1;1603.1
22500;360000;1.201830433841392e-06;5.4e+03;4.44e-02;1.00E-03;2.00E-01;27;18.5;1638.5
23000;368000;1.177761586813995e-06;6.4e+03;4.12e-02;9.00E-04;2.00E-01;27;53.7;1673.7
23500;376000;1.152090987296335e-06;7.1e+03;3.07e-02;6.00E-04;2.00E-01;28;29.1;1709.1
24000;384000;1.143547877270363e-06;7.6e+03;2.42e-02;5.00E-04;1.00E-01;29;4.5;1744.5
24500;392000;1.137790791893900e-06;8.8e+03;1.79e-02;4.00E-04;9.00E-02;29;39.6;1779.6
25000;400000;1.135111852067431e-06;1.0e+04;1.72e-02;3.00E-04;8.00E-02;30;14.7;1814.7
25500;408000;1.132369170820288e-06;1.1e+04;2.88e-02;5.00E-04;1.00E-01;30;50.1;1850.1
26000;416000;1.074245042211135e-06;1.6e+04;8.91e-02;1.00E-03;4.00E-01;31;26.3;1886.3
26500;424000;9.454718784807689e-07;1.5e+04;8.20e-02;1.00E-03;4.00E-01;32;3.2;1923.2
27000;432000;7.883150845098185e-07;1.5e+04;7.00e-02;1.00E-03;3.00E-01;32;39.4;1959.4
27500;440000;6.797992927254015e-07;1.3e+04;4.55e-02;6.00E-04;2.00E-01;33;15.3;1995.3
28000;448000;5.684685577861296e-07;1.2e+04;6.09e-02;8.00E-04;3.00E-01;33;51.7;2031.7
28500;456000;4.861288023970353e-07;1.3e+04;5.53e-02;7.00E-04;2.00E-01;34;28.3;2068.3
29000;464000;4.511386766744350e-07;1.3e+04;4.39e-02;5.00E-04;2.00E-01;35;6.3;2106.3
29500;472000;4.206828825317394e-07;1.3e+04;2.92e-02;3.00E-04;1.00E-01;35;44;2144
30000;480000;4.101387319416550e-07;1.3e+04;2.68e-02;3.00E-04;1.00E-01;36;21.8;2181.8
30500;488000;4.040548365656518e-07;1.3e+04;2.30e-02;3.00E-04;1.00E-01;36;59.7;2219.7
31000;496000;3.998745798642896e-07;1.2e+04;1.50e-02;2.00E-04;6.00E-02;37;38.5;2258.5
31500;504000;3.985448192426341e-07;1.1e+04;1.68e-02;3.00E-04;6.00E-02;38;18.3;2298.3
32000;512000;3.967369953699167e-07;1.1e+04;1.11e-02;2.00E-04;4.00E-02;38;57.2;2337.2
32500;520000;3.960948842753803e-07;1.5e+04;1.32e-02;3.00E-04;5.00E-02;39;35.2;2375.2
33000;528000;3.954136549487950e-07;2.7e+04;6.63e-03;1.00E-04;3.00E-02;40;13.5;2413.5
33500;536000;3.944886237088440e-07;3.0e+04;2.17e-02;3.00E-04;9.00E-02;40;49.3;2449.3
34000;544000;3.933403300574618e-07;2.5e+04;8.44e-03;1.00E-04;3.00E-02;41;25.1;2485.1
34500;552000;3.929844005022536e-07;2.7e+04;8.36e-03;9.00E-05;3.00E-02;42;2.2;2522.2
35000;560000;3.928324301798584e-07;3.1e+04;9.49e-03;9.00E-05;3.00E-02;42;40.7;2560.7
35500;568000;3.926509086120091e-07;3.1e+04;2.51e-03;2.00E-05;8.00E-03;43;16.9;2596.9
36000;576000;3.926172967525836e-07;3.2e+04;1.29e-03;1.00E-05;4.00E-03;43;52.7;2632.7
36500;584000;3.926050353693414e-07;3.7e+04;2.07e-03;2.00E-05;6.00E-03;44;29.6;2669.6
37000;592000;3.925832096768007e-07;6.4e+04;1.60e-03;1.00E-05;8.00E-03;45;7.1;2707.1
37500;600000;3.925698038520674e-07;6.2e+04;7.79e-03;5.00E-05;4.00E-02;45;46.1;2746.1
38000;608000;3.925100495663681e-07;7.8e+04;7.23e-03;7.00E-05;5.00E-02;46;21.8;2781.8
38500;616000;3.924610080825975e-07;8.7e+04;6.54e-03;9.00E-05;5.00E-02;47;0.6;2820.6
39000;624000;3.924198199507605e-07;8.4e+04;5.92e-03;7.00E-05;4.00E-02;47;37.8;2857.8
39500;632000;3.923452769381076e-07;6.3e+04;6.45e-03;8.00E-05;4.00E-02;48;14.6;2894.6
40000;640000;3.922797842922176e-07;3.9e+04;6.24e-03;7.00E-05;2.00E-02;48;50.2;2930.2
40500;648000;3.921385522259203e-07;3.3e+04;1.42e-02;2.00E-04;4.00E-02;49;25.6;2965.6
41000;656000;3.919976113305146e-07;3.4e+04;1.66e-02;2.00E-04;4.00E-02;50;1;3001
41500;664000;3.919192303594593e-07;4.4e+04;9.66e-03;1.00E-04;3.00E-02;50;36.2;3036.2
42000;672000;3.918139167466893e-07;4.7e+04;1.47e-02;2.00E-04;6.00E-02;51;11.5;3071.5
42500;680000;3.917726669585742e-07;4.7e+04;6.05e-03;6.00E-05;2.00E-02;51;46.5;3106.5
43000;688000;3.917563950752228e-07;5.1e+04;1.93e-03;2.00E-05;7.00E-03;52;21.5;3141.5
43500;696000;3.917443452865200e-07;6.1e+04;1.93e-03;2.00E-05;7.00E-03;52;56.6;3176.6
44000;704000;3.917422990229618e-07;6.6e+04;7.45e-03;6.00E-05;3.00E-02;53;31.7;3211.7
44500;712000;3.917049838289208e-07;2.0e+05;6.32e-03;5.00E-05;4.00E-02;54;8.4;3248.4
45000;720000;3.916960179626238e-07;2.9e+05;6.58e-03;5.00E-05;7.00E-02;54;47.4;3287.4
45500;728000;3.916897784998560e-07;2.7e+05;3.71e-03;3.00E-05;4.00E-02;55;24.8;3324.8
46000;736000;3.916846362782992e-07;2.4e+05;5.03e-03;4.00E-05;5.00E-02;56;4.6;3364.6
46500;744000;3.916799340930740e-07;1.7e+05;2.93e-03;2.00E-05;2.00E-02;56;43.5;3403.5
47000;752000;3.916774175340150e-07;1.4e+05;2.28e-03;1.00E-05;2.00E-02;57;22.2;3442.2
47500;760000;3.916754465869125e-07;1.7e+05;5.32e-03;3.00E-05;3.00E-02;58;1.7;3481.7
