Iter;eval;function-value;axis-ratio;sigma;min&max;std;min;sec;temps
1;16;0.000148154991284595;1.00e+00;9.59e-01;1.00e+00;1.00e+00;0;0;0
2;32;8.14e-05;1.00e+00;9.27e-01;9.00e-01;9.00e-01;0;0.1;0.1
3;48;3.40e-04;1.00e+00;9.00e-01;9.00e-01;9.00e-01;0;0.1;0.1
133;2128;7.89e-05;1.50e+00;6.18e-01;6.00e-01;7.00e-01;0;3.1;3.1
301;4816;1.49e-04;1.70e+00;4.31e-01;4.00e-01;5.00e-01;0;7.1;7.1
500;8000;7.58e-05;1.80e+00;3.72e-01;3.00e-01;4.00e-01;0;12.1;12.1
740;11840;1.12e-04;2.10e+00;2.91e-01;3.00e-01;3.00e-01;0;18.2;18.2
1000;16000;1.27e-04;2.30e+00;2.76e-01;2.00e-01;3.00e-01;0;24.5;24.5
1310;20960;8.33e-05;2.50e+00;9.99e-02;8.00e-02;1.00e-01;0;32.5;32.5
1500;24000;7.12e-05;2.70e+00;6.76e-02;5.00e-02;8.00e-02;0;37.5;37.5
1879;30064;5.79e-05;3.80e+00;3.46e-02;2.00e-02;4.00e-02;0;47.5;47.5
2000;32000;5.47e-05;4.30e+00;3.97e-02;3.00e-02;5.00e-02;0;50.7;50.7
2458;39328;4.80e-05;6.40e+00;2.29e-02;1.00e-02;3.00e-02;1;2.7;62.7
2500;40000;4.67e-05;6.40e+00;2.47e-02;1.00e-02;3.00e-02;1;3.8;63.8
3000;48000;3.52e-05;1.20e+01;1.78e-02;8.00e-03;2.00e-02;1;16.9;76.9
3500;56000;2.56e-05;3.10e+01;1.99e-02;8.00e-03;4.00e-02;1;30;90
4000;64000;1.60e-05;5.90e+01;2.78e-02;1.00e-02;7.00e-02;1;42.9;102.9
4500;72000;8.48e-06;7.80e+01;1.67e-02;6.00e-03;5.00e-02;1;55.8;115.8
5000;80000;6.27e-06;9.70e+01;9.52e-03;3.00e-03;3.00e-02;2;8.7;128.7
5500;88000;4.33e-06;1.10e+02;1.07e-02;3.00e-03;3.00e-02;2;21.6;141.6
6000;96000;2.97e-06;1.30e+02;1.20e-02;3.00e-03;3.00e-02;2;34.6;154.6
